Topic	Start Verse ID	End Verse ID	Votes	#Generated 2025-02-17. Verse ID = bbcccvvv (01 = Gen, 66 = Rev). CC-BY License: www.openbible.info/topics
10 commandments	05005019		14
10 commandments	40022040		14
10 commandments	42004008		14
10 commandments	41002027	41002028	14
10 commandments	66022014		14
10 commandments	40015004		14
10 commandments	66012017		14
10 commandments	42012015		14
10 commandments	40005017	40005019	14
10 commandments	45007014		14
10 commandments	66014012		14
10 commandments	45006015		14
10 commandments	40019017	40019019	14
10 commandments	45007022		14
10 commandments	42004016		14
10 commandments	46010007		14
10 commandments	02020005		14
10 commandments	05005010		14
10 commandments	62003015		14
10 commandments	40005019		14
10 commandments	40012008		13
10 commandments	02034001		13
10 commandments	02021015		10
13th generation	55003001	55003005	62
13th generation	40024001	40024051	38
13th generation	05005009		33
13th generation	66001001		32
13th generation	02020005		31
13th generation	19145004		29
13th generation	02034007		28
13th generation	02034006	02034007	27
13th generation	27004003		25
13th generation	42001050		24
13th generation	19078004		24
13th generation	02020005	02020006	23
13th generation	43003016	43003017	21
13th generation	44002040		21
13th generation	04014018		21
13th generation	48003013		20
13th generation	05024016		18
13th generation	20022006		18
13th generation	55003001	55003017	17
13th generation	19100005		17
13th generation	19078008		16
13th generation	02003015		16
13th generation	19078006		15
13th generation	05011019		15
13th generation	47005017		15
13th generation	26018020		15
13th generation	19102018		14
13th generation	42009041		14
13th generation	42021032		14
13th generation	48003013	48003014	13
13th generation	24050039		13
13th generation	20026002		12
13th generation	40024034		12
13th generation	19090001	19090017	12
13th generation	07002010		11
13th generation	44013036		11
13th generation	01015002		11
13th generation	25005019		11
13th generation	04013001	04013033	11
13th generation	05032005		11
13th generation	01009012		11
13th generation	45008002		11
13th generation	40017017		10
13th generation	21001004		10
13th generation	43008036		10
13th generation	05006007		10
13th generation	02020003		10
13th generation	40012039		10
13th generation	45001001	45001032	10
13th generation	23034010		10
13th generation	48003010		10
13th generation	02020006		10
13th generation	29001003		10
13th generation	48005001		10
2012	40024036		26
2nd marriage	40019009		47
2nd marriage	46007039		42
2nd marriage	40005032		26
2nd marriage	42016018		19
2nd marriage	46007015		17
2nd marriage	46007001	46007040	15
2nd marriage	45007002	45007003	14
2nd marriage	40019001	40019030	10
4th of july	60002016		127
4th of july	47003017		82
4th of july	48005001		52
4th of july	56003001	56003005	49
4th of july	19033012		44
4th of july	43008032		31
4th of july	14007014		26
4th of july	50003020	50003021	23
4th of july	45013001	45013014	20
4th of july	41013001	41013037	18
4th of july	60002011		18
4th of july	28008001	28008014	18
4th of july	20021001	20021031	17
4th of july	18009024	18009026	16
4th of july	06024015		16
4th of july	60002013	60002017	15
4th of july	41012017		13
4th of july	19016001	19016011	13
4th of july	66011001	66011019	12
4th of july	26036026		12
666	66013018		307
666	66013001	66013018	179
666	66013016	66013018	146
666	66013017		75
666	66014001	66014020	69
666	66012001	66012017	69
666	14009013		69
666	66020004		56
666	66013016		48
666	66013008		47
666	15006001	15006022	43
666	15002013		41
666	66014009		36
666	66015002		35
666	66013002		35
666	04007001	04007089	33
666	66014009	66014011	32
666	04006001	04006027	31
666	66019020		31
666	11010014		31
666	66013001		30
666	05018018		29
666	27007025		29
666	66013011	66013018	29
666	66017009		29
666	27007001	27007028	28
666	66013007		28
666	66013004		27
666	66014011		27
666	27002001	27002049	27
666	66014012		24
666	62002018		24
666	66017001	66017018	24
666	66013015		23
666	66013005		23
666	43006066		22
666	66012009		22
666	23045001		21
666	53002004		21
666	27008001	27008027	19
666	66020001	66020015	19
666	53002003		19
666	66016013		18
666	66021001	66021008	17
666	44004012		17
666	66013003		16
666	66014004		16
666	66001001	66001002	16
666	66013017	66013018	16
666	40024001	40024051	16
666	04001001	04001054	15
666	27003001		15
666	27012010		15
666	66016002		15
666	53002008		15
666	66013012		14
666	43003016		14
666	43014006		14
666	66011001	66011019	14
666	66012012		13
666	66014001		13
666	23001001	23001031	13
666	66014010		13
666	53002010		13
666	66012003		13
666	66014002		13
666	21007012		12
666	66017001	66018024	12
666	66012002		12
666	53002009	53002010	12
666	66014006		12
666	66012017		12
666	66017005		12
666	55003001		12
666	04004001	04004049	12
666	55003002		12
666	66021017		12
666	66007003		11
666	45008018		11
666	66013011		11
666	48006017		11
666	66014014		11
666	52004016	52004018	11
666	27007024		10
666	66022004		10
666	66014008		10
666	45008001	45008039	10
666	66017004		10
666	66014019		10
666	66016001	66016021	10
7 deadly sins	20006016	20006019	94
7 deadly sins	62002016	62002017	45
7 deadly sins	40005028		43
7 deadly sins	20016018		29
7 deadly sins	02020017		25
7 deadly sins	48005022		23
7 deadly sins	43010017	43010018	21
7 deadly sins	46013013		17
7 deadly sins	21010018		14
7 deadly sins	20014001	20014035	13
7 deadly sins	60002001	60002009	13
7 deadly sins	04007001	04007089	13
7 deadly sins	43003016	43003017	12
7 deadly sins	05031008		12
7 deadly sins	46011014		11
7 deadly sins	45001029	45001032	11
7th day	01001004	01001006	10
7th day	02020008		10
911	23030025		40
a healthy marriage	58013004		499
a healthy marriage	01002024		347
a healthy marriage	51003019		281
a healthy marriage	51003018		258
a healthy marriage	49005025	49005029	236
a healthy marriage	46007010	46007011	222
a healthy marriage	49005022	49005023	213
a healthy marriage	20031010	20031031	191
a healthy marriage	51003018	51003019	175
a healthy marriage	60003001	60003006	173
a healthy marriage	01003016		156
a healthy marriage	42016018		152
a healthy marriage	46013004	46013007	144
a healthy marriage	49005021		142
a healthy marriage	20005015	20005019	141
a healthy marriage	20018022		141
a healthy marriage	02020014		139
a healthy marriage	46007032	46007034	132
a healthy marriage	49005022	49005033	124
a healthy marriage	49005031	49005032	119
a healthy marriage	60003001	60003007	117
a healthy marriage	21004009	21004012	112
a healthy marriage	46007003		108
a healthy marriage	49004002	49004003	97
a healthy marriage	01002018		96
a healthy marriage	39002014	39002015	95
a healthy marriage	49005033		93
a healthy marriage	49005028	49005032	89
a healthy marriage	46013001	46013013	80
a healthy marriage	01002018	01002024	77
a healthy marriage	46007003	46007005	74
a healthy marriage	40019004	40019006	72
a healthy marriage	20005018	20005019	71
a healthy marriage	49005025		66
a healthy marriage	20031010	20031012	61
a healthy marriage	45002006	45002008	60
a healthy marriage	19128001	19128004	57
a healthy marriage	41010006	41010009	53
a healthy marriage	39002016		52
a healthy marriage	49004029		51
a healthy marriage	20019014		46
a healthy marriage	22008006	22008007	45
a healthy marriage	50004008		45
a healthy marriage	20012004		43
a healthy marriage	50004013		43
a healthy marriage	46007001	46007016	42
a healthy marriage	40005032		42
a healthy marriage	45012002		42
a healthy marriage	53002014	53002015	42
a healthy marriage	01001027		42
a healthy marriage	41010002	41010012	40
a healthy marriage	44002038	44002039	39
a healthy marriage	46011001	46011002	38
a healthy marriage	49005025	49005033	38
a healthy marriage	49005001	49005033	36
a healthy marriage	45003023		33
a healthy marriage	43013034	43013035	33
a healthy marriage	42006037		33
a healthy marriage	42001037		32
a healthy marriage	60005007		32
a healthy marriage	43020019	43020023	31
a healthy marriage	49004015		31
a healthy marriage	50002012	50002013	29
a healthy marriage	60003007		29
a healthy marriage	46013001	46013006	28
a healthy marriage	54003002	54003005	27
a healthy marriage	01009001		27
a healthy marriage	39002014	39002016	25
a healthy marriage	49004026		25
a healthy marriage	40019004	40019005	25
a healthy marriage	49005021	49005033	25
a healthy marriage	45001026	45001029	24
a healthy marriage	47011002		23
a healthy marriage	20031010	20031011	22
a healthy marriage	19091015		21
a healthy marriage	20024001	20024034	20
a healthy marriage	19001001		20
a healthy marriage	01001001	01001013	19
a healthy marriage	46007003	46007004	18
a healthy marriage	21002024		18
a healthy marriage	46013007		17
a healthy marriage	01002018	01002025	17
a healthy marriage	46013004	46013005	17
a healthy marriage	40007013	40007014	16
a healthy marriage	60004008		15
a healthy marriage	49005022		14
a healthy marriage	54003002	54003004	14
a healthy marriage	46005007		13
a healthy marriage	43003016	43003017	13
a healthy marriage	22001001	22008014	13
a healthy marriage	43003018		12
a healthy marriage	58013006		12
a healthy marriage	44002038		12
a healthy marriage	46013004		12
a healthy marriage	19050005		11
a healthy marriage	20005018		11
a healthy marriage	19117001	19117002	11
a healthy marriage	58013004	58013006	11
a healthy marriage	43003016		11
a husband	60003001	60003022	325
a husband	60003007		283
a husband	46007010	46007011	240
a husband	51003019		232
a husband	49005025	49005033	210
a husband	01002024		186
a husband	49005025		147
a husband	54005008		140
a husband	46011003		127
a husband	20005018	20005019	118
a husband	21009009		106
a husband	39002014	39002015	101
a husband	49005028		98
a husband	54003002		94
a husband	46007003		92
a husband	20018022		91
a husband	20019014		82
a husband	20012004		77
a husband	20020006	20020007	75
a husband	49005031		72
a husband	46007001	46007007	72
a husband	49005023		71
a husband	46007003	46007005	61
a husband	49005022	49005024	61
a husband	01003016		60
a husband	49005033		59
a husband	49005028	49005029	53
a husband	40019005		52
a husband	20005018		50
a husband	49005025	49005028	50
a husband	54003012		46
a husband	58013004		46
a husband	50004013		37
a husband	40019004	40019006	34
a husband	49005022	49005033	33
a husband	39002014	39002016	33
a husband	40005028		31
a husband	01002018		31
a husband	49005022		31
a husband	51003018	51003019	30
a husband	51003018		30
a husband	49005001	49005033	30
a husband	60004008		30
a husband	60003001		27
a husband	49006004		27
a husband	49005022	49005023	25
a husband	54003002	54003005	25
a husband	46007014		24
a husband	56002005		22
a husband	40005032		22
a husband	49005021		21
a husband	49004032		20
a husband	56001006		20
a husband	46007002		19
a husband	60003001	60003006	19
a husband	45005008		18
a husband	60003006		17
a husband	46013001	46013013	17
a husband	46010013		16
a husband	59001001	59001027	16
a husband	56002004		15
a husband	49005025	49005029	15
a husband	49005024		15
a husband	43003016	43003017	15
a husband	46007001	46007040	15
a husband	44005029		14
a husband	05024005		14
a husband	20031010		14
a husband	20031010	20031012	13
a husband	20031010	20031011	13
a husband	66001001		13
a husband	46007003	46007004	13
a husband	20016001		13
a husband	49005028	49005033	12
a husband	66001001	66001020	11
a husband	20031001	20031031	11
a husband	56002004	56002005	11
a husband	49005022	49005025	11
a husband	43003016		11
a husband	46007010		11
a husband	51003014		11
a husband	40019009		11
a husband	49005026	49005027	11
a husband	49005027		10
a husband	45008028		10
a husband	21004012		10
a husband	49004001	49004032	10
a man	01001027		385
a man	01002007		174
a man	54005008		125
a man	20020006		94
a man	46016013		92
a man	59001012		89
a man	01001026	01001027	86
a man	49005025	49005028	80
a man	21007029		78
a man	46016013	46016014	77
a man	18031001		75
a man	33006008		70
a man	19001001	19001003	64
a man	01002024		64
a man	60003007		62
a man	20027017		60
a man	58013004		52
a man	49005025	49005033	49
a man	03018022		47
a man	49005025		43
a man	46015058		39
a man	19008004	19008006	39
a man	19008004	19008005	37
a man	21007020		37
a man	06001009		34
a man	01003019		34
a man	54002005		32
a man	01002018		31
a man	01002022	01002024	30
a man	51003019		28
a man	58010026		28
a man	01001026		27
a man	54006011		27
a man	49006004		27
a man	03020013		27
a man	49004024		26
a man	49005022	49005033	25
a man	46015045	46015049	25
a man	55002022		25
a man	20020007		25
a man	46013011		24
a man	01002015		24
a man	40019004	40019006	23
a man	58004012		23
a man	46015045		22
a man	65001007		22
a man	11002002	11002003	21
a man	46011003		21
a man	49004001	49004002	21
a man	43003016	43003017	21
a man	19037023		20
a man	55003016		19
a man	54004012		19
a man	43003016		18
a man	66001001		18
a man	01002022		18
a man	59005012		18
a man	26022030		17
a man	54006011	54006012	17
a man	18001001		17
a man	49004001	49004003	17
a man	51003018	51003019	16
a man	54002008		16
a man	01002015	01002024	16
a man	46006009		16
a man	59002010		15
a man	50004013		15
a man	56002007		15
a man	19119009		14
a man	46007002		14
a man	19112001	19112010	14
a man	18010012		14
a man	19001001	19001006	13
a man	48003028		13
a man	49005022	49005025	13
a man	40005028		13
a man	19128001	19128004	13
a man	26018020		13
a man	19139014		13
a man	20018022		13
a man	45005012		13
a man	19001001	19001002	13
a man	40024035		13
a man	20031001	20031031	12
a man	40005019		12
a man	01006001	01006022	12
a man	66014012		12
a man	49005023		11
a man	54001008	54001010	11
a man	48005019	48005021	11
a man	49005033		11
a man	51003021		11
a man	45001027		11
a man	45001026	45001027	11
a man	46011007		11
a man	01005001	01005002	11
a man	47004016		11
a man	60005005	60005010	11
a man	40019004		11
a man	55003016	55003017	10
a man working	54003002		612
a man working	01002015		216
a man working	49004028		169
a man working	20014023		166
a man working	53003010		160
a man working	54005008		154
a man working	02020009		149
a man working	20012011		134
a man working	20013004		132
a man working	20022029		122
a man working	20016003		116
a man working	52004011	52004012	104
a man working	20006006	20006008	102
a man working	51003023		96
a man working	21009010		87
a man working	51003023	51003024	64
a man working	20010004		61
a man working	53003012		56
a man working	20010004	20010005	51
a man working	20018009		44
a man working	20012024		38
a man working	52004011		37
a man working	46015058		33
a man working	20028019		33
a man working	56003014		33
a man working	53003010	53003012	30
a man working	61001021		30
a man working	20030005	20030006	29
a man working	62005019		27
a man working	12002023	12002024	27
a man working	02020008	02020011	24
a man working	21003022		24
a man working	20012027		22
a man working	42004004		21
a man working	21003012	21003013	20
a man working	40005018		20
a man working	53003008		20
a man working	01001001		19
a man working	20024030	20024034	17
a man working	20021025		17
a man working	21003013		17
a man working	46003016		16
a man working	19090017		14
a man working	53003007	53003009	14
a man working	21005018		14
a man working	21005012		13
a man working	01003019		13
a man working	49006007		13
a man working	53003007	53003008	13
a man working	56002007	56002008	12
a man working	43003016	43003017	12
a man working	42001037		12
a man working	55002016	55002021	12
a man working	43006027		12
a man working	51003017		12
a man working	44020028		12
a man working	51003024		12
a man working	50004013		12
a man working	55002015		12
a man working	46016014		12
a man working	20013011		12
a man working	55003016	55003017	11
a man working	20024027		11
a man working	46010031		11
a man working	58004006	58004009	11
a man working	66001001		11
a man working	01003017	01003019	11
a man working	44020035		11
a man working	60001023		11
a man working	02023010	02023012	11
a man working	46015002		10
a man working	40013010	40013013	10
a man working	60003013		10
a man working	40005016		10
a man working	21004009		10
a man working	20021005	20021008	10
a man working	05024014		10
a man working	43014012		10
a man working	43005017		10
a man working	48006004	48006005	10
a man working	21005019		10
a man working	01002003		10
a man working	47009008		10
a man working	63001008		10
a mans character	20006016	20006019	816
a mans character	20022001		313
a mans character	48005022	48005023	231
a mans character	45005004		226
a mans character	54003002	54003007	197
a mans character	19001001		197
a mans character	20010009		189
a mans character	61001005	61001008	182
a mans character	09016007		162
a mans character	50004008		152
a mans character	20027019		149
a mans character	40007016	40007020	148
a mans character	60001014		140
a mans character	61001005	61001007	140
a mans character	47005017		124
a mans character	62002003	62002004	120
a mans character	20020007		105
a mans character	56002007	56002008	101
a mans character	59004008		100
a mans character	45005003	45005005	99
a mans character	46011001	46011002	96
a mans character	20008014		92
a mans character	53003006		87
a mans character	21007001		86
a mans character	43006067	43006071	83
a mans character	40007017		79
a mans character	59001022	59001025	74
a mans character	59003013		71
a mans character	20011003		68
a mans character	20012004		67
a mans character	53002014	53002015	67
a mans character	20028006		63
a mans character	46015033		62
a mans character	40006021		60
a mans character	45012002		60
a mans character	50004005		60
a mans character	19014001	19014004	60
a mans character	56001007	56001009	55
a mans character	49005001		55
a mans character	43008044		54
a mans character	19119001		54
a mans character	55003016		52
a mans character	62004008		52
a mans character	08003011		51
a mans character	49004022		51
a mans character	20020006		51
a mans character	58004012		49
a mans character	20031010		49
a mans character	49005001	49005002	49
a mans character	45013014		48
a mans character	23001001	23001031	47
a mans character	45005003	45005004	46
a mans character	13016011		44
a mans character	62001009		44
a mans character	18002003		43
a mans character	44017011		43
a mans character	42006031		41
a mans character	45005008		41
a mans character	43014006		40
a mans character	20017017		38
a mans character	40005048		37
a mans character	45005005		37
a mans character	43003016		37
a mans character	20013020		37
a mans character	54004012		37
a mans character	60002012		36
a mans character	59001002		36
a mans character	58013005		35
a mans character	20018022		35
a mans character	47013014		32
a mans character	50002012	50002016	32
a mans character	56001006	56001009	31
a mans character	20022001	20022029	31
a mans character	13029017		30
a mans character	49004022	49004024	30
a mans character	43020019	43020023	30
a mans character	19015001	19015002	29
a mans character	55003003	55003004	29
a mans character	56002001	56002015	29
a mans character	52004009		28
a mans character	19023001	19023006	28
a mans character	20019014		28
a mans character	46010013		26
a mans character	43006055	43006059	26
a mans character	55003010		26
a mans character	56002012		26
a mans character	40006033		26
a mans character	46011027	46011030	25
a mans character	60003016		25
a mans character	46007010	46007011	25
a mans character	45001016		25
a mans character	59005011		24
a mans character	49004001	49004003	24
a mans character	43006050	43006071	23
a mans character	54003001	54003007	23
a mans character	50004013		23
a mans character	62002006		23
a mans character	62002005		23
a mans character	50002015		22
a mans character	44016002		22
a mans character	50004008	50004009	20
a mans character	40012035		20
a mans character	50002003	50002004	20
a mans character	56002002		20
a mans character	41013033		20
a mans character	42006045		20
a mans character	60003003	60003004	20
a mans character	43015013		20
a mans character	20020011		20
a mans character	66017014		19
a mans character	33006008		18
a mans character	40009006	40009008	18
a mans character	20016019		18
a mans character	43017017		18
a mans character	45005003		18
a mans character	54003001		17
a mans character	66003001		17
a mans character	20019001		16
a mans character	19015001	19015005	16
a mans character	20020006	20020007	16
a mans character	62005003		16
a mans character	54003008	54003012	16
a mans character	40005016		15
a mans character	46010015	46010017	15
a mans character	20027017		14
a mans character	20021002		14
a mans character	20031010	20031031	14
a mans character	23026003		13
a mans character	23029019		13
a mans character	20031001	20031031	13
a mans character	49002010		13
a mans character	58011006		13
a mans character	56002014		13
a mans character	40005001	40005048	13
a mans character	43003016	43003017	13
a mans character	20014001		13
a mans character	48002020		12
a mans character	56002001		12
a mans character	55002022		12
a mans character	58006010		12
a mans character	20012002		12
a mans character	49001004		12
a mans character	20017027		12
a mans character	48005006		12
a mans character	47005014		12
a mans character	59003013	59003018	12
a mans character	20028001		12
a mans character	40023023		12
a mans character	19041011	19041012	12
a mans character	44017001	44017034	11
a mans character	66001001		11
a mans character	58013001	58013025	11
a mans character	49002001	49002003	10
a mans character	44020035		10
a mans character	01006009		10
a mans character	66005010		10
a mans character	66020004		10
a mans character	40005006		10
a mans character	09018005		10
a mans character	59001027		10
a mans character	51003012	51003015	10
a mans character	66001001	66001020	10
a mans character	66003021		10
a mans character	66020006		10
a mans character	42016010		10
a mans character	19025021		10
a mans reputation	20022001		243
a mans reputation	21007001		223
a mans reputation	54003007		139
a mans reputation	20010007		134
a mans reputation	60002012		123
a mans reputation	64001012		97
a mans reputation	20027002		93
a mans reputation	20020006		78
a mans reputation	20003004		76
a mans reputation	40005016		72
a mans reputation	20020011		54
a mans reputation	20003003	20003004	51
a mans reputation	55003003	55003004	45
a mans reputation	20025027		45
a mans reputation	44016002		44
a mans reputation	56002007	56002008	43
a mans reputation	59003010	59003012	38
a mans reputation	44006003		35
a mans reputation	20027021		34
a mans reputation	50002029		32
a mans reputation	19027001	19027014	31
a mans reputation	60001014		29
a mans reputation	42006026		29
a mans reputation	20018024		29
a mans reputation	20025009	20025010	29
a mans reputation	42006022		26
a mans reputation	09002030		26
a mans reputation	40007016	40007020	25
a mans reputation	47008021		25
a mans reputation	50002015		25
a mans reputation	20020007		24
a mans reputation	40007017		24
a mans reputation	20021024		22
a mans reputation	21010001		20
a mans reputation	54003002	54003007	19
a mans reputation	59004008		19
a mans reputation	50002007		18
a mans reputation	50002007	50002008	18
a mans reputation	43008044		18
a mans reputation	20025006	20025007	17
a mans reputation	59002004		17
a mans reputation	45005004		17
a mans reputation	49004022		17
a mans reputation	20022004		15
a mans reputation	21007001	21007029	15
a mans reputation	47005017		14
a mans reputation	42006022	42006023	13
a mans reputation	60003016		13
a mans reputation	20021021		13
a mans reputation	20025010		13
a mans reputation	42006043	42006045	13
a mans reputation	66003001	66003022	11
a mans reputation	43003016		11
a mans reputation	50004005		11
a mans reputation	45012017		11
a mans reputation	09016007		10
a new creation	47005017		897
a new creation	48006015		181
a new creation	43003003		143
a new creation	23043018	23043019	135
a new creation	45006004		134
a new creation	23065017		131
a new creation	60001023		121
a new creation	66021005		120
a new creation	61003013		104
a new creation	26036026		101
a new creation	49004024		100
a new creation	49002010		93
a new creation	66021001		93
a new creation	56003005		82
a new creation	51003010		78
a new creation	51003009	51003010	76
a new creation	49002008	49002009	62
a new creation	45012002		59
a new creation	60001003		46
a new creation	49004022	49004024	45
a new creation	45008001		41
a new creation	66021001	66021027	40
a new creation	40019028		40
a new creation	62001009		36
a new creation	46005007		36
a new creation	43003016		34
a new creation	44002038	44002039	34
a new creation	47005021		29
a new creation	43003001	43003005	26
a new creation	50004013		26
a new creation	43006055	43006059	24
a new creation	60003018	60003022	24
a new creation	66021001	66021005	24
a new creation	46005007	46005008	23
a new creation	43005024		23
a new creation	45008001	45008039	22
a new creation	45006001	45006023	22
a new creation	26036024	26036027	22
a new creation	47005001	47005021	22
a new creation	62004004		21
a new creation	26036026	26036027	21
a new creation	49004023	49004024	20
a new creation	49002008		20
a new creation	66003012		19
a new creation	23043019		18
a new creation	12002023	12002024	17
a new creation	47004016		17
a new creation	43006067	43006071	16
a new creation	46006009	46006011	16
a new creation	19051010		16
a new creation	45010013		15
a new creation	45008019	45008021	14
a new creation	48002020		14
a new creation	45008019	45008023	14
a new creation	43010028		14
a new creation	24031031	24031034	14
a new creation	43001012		14
a new creation	49002009		14
a new creation	43003003	43003007	14
a new creation	48006014	48006015	13
a new creation	24029011		13
a new creation	40009006	40009008	12
a new creation	46010001	46010004	12
a new creation	01001001		11
a new creation	43014021		11
a new creation	19118001	19118029	11
a new creation	46006009		11
a new creation	26011019		10
a new creation	45008021		10
a new creation	21003011		10
a new creation	24031031		10
a new creation	45001020		10
a new creation	59001018		10
a new creation	58006004	58006006	10
a new creation	01001026		10
a new creation	45008019		10
a new creation	01001027		10
a tenth	39003008	39003009	617
a tenth	03027030		228
a tenth	39003010		184
a tenth	01014020		182
a tenth	04018026		173
a tenth	05014022		157
a tenth	58007002		142
a tenth	14031005		134
a tenth	16010037		114
a tenth	03027032		94
a tenth	04018021		82
a tenth	01028022		81
a tenth	30004004		76
a tenth	47009007		60
a tenth	05014028		60
a tenth	58007004		59
a tenth	20003009		58
a tenth	16013012		51
a tenth	40023023		38
a tenth	58007004	58007005	37
a tenth	05026012		32
a tenth	58007001	58007028	25
a tenth	58007009		25
a tenth	05014028	05014029	24
a tenth	16010037	16010038	23
a tenth	42011042		21
a tenth	44020035		20
a tenth	04018024		19
a tenth	39003001	39003018	18
a tenth	42018012		17
a tenth	05012006		16
a tenth	01028020	01028022	15
a tenth	05012017		15
a tenth	46011031		14
a tenth	43004024		14
a tenth	42016019	42016031	14
a tenth	39003008		13
a tenth	19024001		13
a tenth	03006020		13
a tenth	03027030	03027032	12
a tenth	03005011		12
a tenth	02029040		12
a tenth	02016036		12
a tenth	54005008		11
a tenth	09008015		11
a tenth	16010038		11
a tenth	59001027		11
a tenth	01001001	01001031	10
a tenth	42006038		10
a time for love	21003001	21003008	720
a time for love	21003008		194
a time for love	46013001	46013013	155
a time for love	60004008		146
a time for love	51003014		141
a time for love	22008006	22008007	125
a time for love	20010012		119
a time for love	40022037	40022039	117
a time for love	49005025		106
a time for love	62004008		101
a time for love	62004007	62004008	81
a time for love	46016014		77
a time for love	45012009	45012010	63
a time for love	43013034	43013035	56
a time for love	62004007	62004012	55
a time for love	46013004	46013007	55
a time for love	62003018		52
a time for love	62004019		48
a time for love	45013010		48
a time for love	43010011		46
a time for love	43003016		45
a time for love	48005022	48005023	45
a time for love	49005011		42
a time for love	43015013		42
a time for love	45012009		41
a time for love	20017017		39
a time for love	62004016		39
a time for love	45013008		38
a time for love	43014006		37
a time for love	43015012	43015013	37
a time for love	43015012		36
a time for love	22002007		34
a time for love	49004002		31
a time for love	45013008	45013010	30
a time for love	21003014		27
a time for love	49005025	49005033	24
a time for love	43003017		23
a time for love	45008028		23
a time for love	21003001	21003022	23
a time for love	21001013		22
a time for love	40022037	40022040	19
a time for love	62004018	62004019	19
a time for love	20003003	20003004	18
a time for love	21003001		18
a time for love	24012001	24012017	18
a time for love	18007001	18007021	18
a time for love	62004007	62004021	17
a time for love	49004002	49004003	16
a time for love	62004007		15
a time for love	22008004		15
a time for love	03019018		13
a time for love	05006005		13
a time for love	50001003		13
a time for love	40005043	40005048	13
a time for love	24001004	24001008	13
a time for love	43015009	43015013	12
a time for love	46013004	46013008	12
a time for love	43017001	43017026	12
a time for love	42015011	42015032	12
a time for love	46013006		12
a time for love	46013001	46013003	11
a time for love	62004018		11
a time for love	01050020		11
a time for love	12004008	12004030	11
a time for love	51003012	51003014	11
a time for love	62003016	62003018	11
a time for love	43010014	43010015	11
aaron	58005004	58005010	581
aaron	02028001		168
aaron	02004014	02004016	134
aaron	19106016		100
aaron	02007001		93
aaron	02006020		91
aaron	58007011		81
aaron	05010006		80
aaron	02004014		74
aaron	02007001	02007002	74
aaron	04020023	04020029	69
aaron	02032001	02032035	68
aaron	04017001	04017011	66
aaron	02032001	02032004	65
aaron	03010001	03010003	61
aaron	03008012		52
aaron	58005004		51
aaron	04012001		49
aaron	03008001	03008036	45
aaron	04012001	04012015	45
aaron	58005001	58005004	41
aaron	04020023	04020028	37
aaron	04016001	04016050	36
aaron	03010001	03010002	32
aaron	02029009		29
aaron	03016001	03016034	28
aaron	04012001	04012008	25
aaron	04006023	04006027	24
aaron	04017008		23
aaron	02029001	02029046	22
aaron	02024001	02024018	20
aaron	02040012	02040015	18
aaron	33006004		18
aaron	04016001	04017011	17
aaron	58005001	58005005	16
aaron	09012006	09012011	13
aaron	04018001	04018032	13
aaron	04013026	04013033	13
aaron	02038021		13
aaron	03008001	03008012	13
aaron	19118001	19118004	12
aaron	02024009	02024011	12
aaron	19133002		12
aaron	04016001	04016011	12
aaron	04016001	04016035	12
aaron	02008005		12
aaron	04012001	04012016	12
aaron	02024001	02024002	12
aaron	13023013		11
